488,227,0
488,227,0
488,227,0
488,227,0
488,227,0
488,227,0
488,227,0
488,227,0
488,227,0
488,227,0
488,227,0
487,227,0
486,227,0
481,227,0
478,227,0
476,227,0
475,227,0
474,227,0
473,227,0
473,227,0
470,227,0
465,227,0
459,227,0
452,227,0
446,227,0
442,228,0
437,229,0
433,230,0
432,230,0
431,230,0
431,230,0
430,230,0
428,230,0
424,230,0
421,231,0
415,232,0
410,233,0
406,235,0
402,237,0
397,239,0
391,243,0
385,246,0
379,252,0
370,259,0
364,265,0
359,271,0
355,276,0
352,280,0
349,284,0
346,289,0
344,293,0
342,297,0
340,301,0
340,304,0
340,305,0
340,307,0
340,308,0
340,310,0
341,313,0
343,317,0
345,321,0
347,326,0
350,330,0
352,334,0
355,338,0
359,341,0
362,343,0
365,345,0
367,346,0
370,347,0
373,347,0
379,349,0
382,350,0
385,350,0
387,351,0
388,351,0
390,352,0
391,353,0
394,354,0
397,355,0
400,357,0
403,359,0
406,361,0
410,364,0
413,366,0
415,369,0
418,372,0
420,374,0
421,376,0
422,378,0
424,379,0
424,381,0
425,382,0
426,384,0
426,385,0
429,388,0
418,201,1
418,201,1
418,201,1
418,201,1
418,201,1
418,201,1
418,201,1
418,201,1
418,201,1
418,201,1
418,201,1
418,201,1
418,202,1
418,203,1
418,205,1
418,206,1
418,209,1
418,211,1
418,213,1
419,217,1
420,220,1
421,223,1
422,225,1
423,227,1
423,229,1
424,231,1
425,232,1
426,234,1
426,234,1
426,235,1
426,236,1
427,238,1
427,239,1
428,240,1
428,242,1
428,242,1
429,244,1
429,245,1
429,245,1
429,246,1
429,247,1
